lsoa21cd,mean_delay,vehicle_count
E01006217,-15.45,1
E01006217,-15.33,1
E01006310,-13.32,1
E01006220,6.76,1
E01006220,6.05,1
E01006220,6.36,1
E01006220,5.55,1
E01006215,5.1,1
E01006215,4.63,1
E01006215,4.98,1
E01006215,4.43,1
E01006215,3.78,1
E01006214,3.4,1
E01006221,6.36,1
E01006221,5.96,1
E01006221,7.07,1
E01006214,4.99,1
E01006219,3.47,1
E01006268,3.25,1
E01006268,1.85,1
E01006266,2.39,1
E01006266,1.97,1
E01006368,2.65,1
E01006368,2.26,1
E01006223,3.31,1
E01006268,3.02,1
E01006268,3.18,1
E01006265,3.19,1
E01006223,2.73,1
E01006368,1.75,1
E01006368,2.22,1
E01006364,-6.39,1
E01006362,-1.17,1
E01006345,-0.99,1
E01006348,-1.06,1
E01006362,-2.7,1
E01006362,-2.48,1
E01006364,-1.86,1
E01006365,-2.88,1
E01006364,-3.25,1
E01006362,-7.6,1
E01006365,-2.82,1
E01006364,-4.75,1
E01006364,-5.54,1
E01006348,0.27,1
E01006348,-0.39,1
E01006345,0.58,1
E01006345,-0.24,1
E01006340,-0.85,1
E01006342,-0.75,1
E01006342,-0.85,1
E01006340,-1.81,1
E01006340,-1.02,1
E01006268,-8.23,1
E01006268,-8.22,1
E01006266,-8.67,1
E01006266,-8.12,1
E01006368,-8.5,1
E01006368,-7.97,1
E01006223,-10.84,1
E01006268,-9.09,1
E01006268,-8.84,1
E01006265,-10.35,1
E01006223,-10.07,1
E01006368,-8.35,1
E01006368,-7.75,1
E01006349,-10.73,1
E01006369,-11.73,1
E01006408,-10.28,1
E01006364,-5.07,1
E01006394,-9.55,1
E01006362,-2.36,1
E01006364,-2.67,1
E01006365,-3.23,1
E01006364,-3.96,1
E01006394,-9.21,1
E01006394,-8.56,1
E01006401,-6.31,1
E01006394,-10.63,1
E01006393,-10.28,1
E01006393,-11.46,1
E01006400,-10.83,1
E01006403,-11.27,1
E01006403,-12.25,1
E01006408,-10.52,1
E01006406,-9.08,1
E01006408,-9.35,1
E01006405,-10.43,1
E01006365,-3.63,1
E01006364,-3.97,1
E01006349,-11.49,1
E01006364,-4.45,1
E01006262,-10.12,1
E01006221,-15.55,1
E01006221,-15.76,1
E01006221,-15.68,1
E01006224,-17.14,1
E01006364,-1.13,1
E01006394,-0.49,1
E01006364,0.86,1
E01006268,-11.92,1
E01006262,-11.17,1
E01006262,-9.07,1
E01006410,-7.81,1
E01006394,0.04,1
E01006394,-0.36,1
E01006401,-0.2,1
E01006394,-0.32,1
E01006393,-0.84,1
E01006393,-1.44,1
E01006400,-1.93,1
E01006403,-2.61,1
E01006403,-5.07,1
E01006403,-5.08,1
E01006409,-5.97,1
E01006365,1.3,1
E01006364,-0.08,1
E01006364,-0.48,1
E01006224,-17.8,1
E01006220,-19.04,1
E01006220,-20.53,1
E01006220,-21.23,1
E01006220,-20.71,1
E01006227,-22.12,1
E01006227,-23.75,1
E01006346,-23.44,1
E01006228,-23.13,1
E01006223,-15.94,1
E01006268,-13.45,1
E01006268,-13.34,1
E01006265,-14.61,1
E01006223,-14.36,1
E01005743,0.04,1
E01005750,0.44,3
E01005757,3.4,2
E01005743,-3.57,1
E01005743,0.75,3
E01005750,-3.36,1
E01033947,4.14,2
E01005750,-2.91,1
E01005902,-0.76,1
E01005750,-3.67,1
E01005748,1.52,3
E01005899,3.58,2
E01005917,3.9,2
E01005743,-0.57,1
E01005743,1.35,3
E01005918,-0.04,1
E01005898,0.65,3
E01005898,1.72,3
E01005904,-0.16,3
E01005904,-1.43,3
E01005904,3.02,3
E01005904,6.58,3
E01005904,-2.04,3
E01005904,1.58,3
E01005904,0.62,3
E01005904,-3.35,2
E01005904,4.62,2
E01005904,2.42,3
E01005899,-0.1,3
E01005900,0.41,3
E01005899,4.1,3
E01005899,0.66,3
E01005904,1.22,3
E01005904,1.97,3
E01005904,2.47,3
E01005904,0.98,3
E01005903,1.32,3
E01005903,2.25,3
E01005903,0.97,3
E01005903,2.55,3
E01005748,2.2,3
E01005748,1.18,3
E01005748,1.9,3
E01005747,1.43,3
E01005747,1.42,3
E01005747,2.14,3
E01005747,0.86,3
E01005747,2.39,3
E01005745,1.96,3
E01005745,2.07,3
E01005746,0.82,2
E01005905,0.66,3
E01005751,0.12,1
E01005751,0.78,3
E01005750,0.52,3
E01005757,-2.32,1
E01005757,1.79,2
E01005743,0.51,3
E01005757,2.32,2
E01033947,-0.2,1
E01033947,4.36,2
E01033947,0.22,2
E01033947,1.01,2
E01005757,1.14,2
E01005757,1.7,2
E01005897,2.11,3
E01005897,2.08,3
E01005898,0.81,3
E01005898,2.19,3
E01005905,0.41,1
E01005900,1.23,3
E01005900,5.19,3
E01005900,1.24,3
E01005900,4.11,3
E01005900,0.14,3
E01005900,3.79,3
E01005898,1.6,3
E01005898,2.67,3
E01005902,0.53,3
E01005902,0.57,3
E01005899,0.53,3
E01005905,3.41,2
E01005905,0.8,3
E01005905,0.77,3
E01005905,0.09,1
E01005905,0.85,3
E01005900,0.14,3
E01005900,0.67,3
E01005902,5.46,1
E01005066,2.18,14
E01033653,0.73,7
E01033653,0.77,6
E01033653,2.06,12
E01033662,1.66,14
E01033653,1.98,10
E01033662,1.37,14
E01005210,2.09,16
E01005210,2.5,3
E01005214,2.39,16
E01005214,2.63,16
E01005208,2.51,16
E01005212,2.26,16
E01005210,1.99,16
E01005214,1.98,15
E01005208,2.32,13
E01005212,2.1,9
E01005212,1.3,4
E01033653,2.14,12
E01033662,1.65,11
E01033656,1.41,7
E01005066,2.62,3
E01005210,1.85,3
E01005210,1.73,15
E01006142,-0.28,18
E01006144,0.74,18
E01006179,0.66,18
E01006179,4.8,14
E01006144,5.83,14
E01006189,5.29,14
E01006187,5.43,14
E01006187,5.11,14
E01006186,5.1,14
E01006186,4.2,15
E01006186,3.89,15
E01006188,3.67,15
E01034001,2.9,15
E01006144,0.3,18
E01034001,0.84,19
E01005214,2.85,15
E01006188,1.52,18
E01006188,1.4,18
E01006186,1.42,18
E01006186,1.05,18
E01006186,0.65,18
E01006186,0.52,18
E01006187,0.34,18
E01006187,0.05,18
E01005214,2.11,15
E01006184,-0.1,18
E01006165,0.16,18
E01006165,0,18
E01006149,0.02,18
E01006160,0.8,17
E01006150,0.66,17
E01006151,0.58,17
E01006151,0.33,17
E01006100,5.08,14
E01006151,5.3,14
E01006151,4.92,14
E01006100,4.67,14
E01006150,4.95,14
E01006149,4.46,14
E01006149,4.33,14
E01006165,5.48,14
E01006154,5.69,14
E01006144,5.62,14
E01006144,5.43,14
E01006089,0.23,18
E01006080,2.09,12
E01006078,0.01,17
E01006080,2.03,12
E01006080,-0.41,17
E01006080,2.65,7
E01006096,3.99,14
E01006100,0.16,17
E01034001,1.59,17
E01034001,2.87,15
E01006112,3.31,15
E01006112,1.74,16
E01034001,1.95,16
E01006089,3.98,13
E01006089,3.82,14
E01006096,4.49,14
E01006096,4.87,14
E01006094,4.65,14
E01006151,0.38,17
E01006103,0.26,17
E01006096,0.33,17
E01006096,0.31,17
E01006089,-0.35,17
E01006089,-0.32,18
E01006169,3.21,1
E01006171,3.19,1
E01006166,2.94,1
E01006166,2.84,1
E01006160,4.12,1
E01006150,4.11,1
E01006147,3.78,1
E01006150,3.27,1
E01006148,3.69,1
E01006170,3.94,1
E01006170,4.03,1
E01006169,3.5,1
E01006160,1.9,1
E01006160,1.91,1
