"Passenger journeys on local bus services by local authority [note 5]: England, from year ending March 2010 [r] [note 6]",,,,,,,,,,,,,,,,,,
Passenger journeys (millions),,,,,,,,,,,,,,,,,,
Local Authority (LA) Code,LA or Region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Notes
E06000023,"Bristol, City of",28.1,28.7,28.8,27.5,29.8,32.7,35.7,39.1,38.4,42.8,40.7,13.1,25.8,29.9,37.1,39.8,[z]
E06000052,Cornwall,10.4,10.7,11.3,9.8,10.0,10.2,10.2,11.2,10.7,12.1,7.9,3.1,7.8,10.2,13.2,13.2,[z]
E10000008,Devon,25.6,26.8,26.8,27.2,28.1,28.7,26.4,26.2,24.4,23.9,23.6,8.1,16.2,17.5,17.0,19.1,[z]
E06000059,Dorset excluding Poole & Bournemouth,10.3,11.1,10.7,9.9,10.2,10.0,10.0,8.7,8.3,8.2,7.6,2.4,4.8,5.2,6.0,6.1,[z]
E10000013,Gloucestershire,21.3,21.2,20.5,20.5,20.8,19.5,20.4,20.5,20.0,20.0,17.2,6.4,11.4,12.5,14.9,15.9,[z]
E06000024,North Somerset,4.4,4.6,4.8,4.9,5.0,5.7,6.0,7.7,7.6,5.5,5.2,1.6,3.5,4.5,4.6,5.0,[z]
E06000026,Plymouth,20.1,20.8,20.6,20.0,20.4,21.1,19.5,19.2,18.6,18.8,17.8,6.9,12.6,14.6,15.3,15.9,[z]
E06000029,Poole,7.7,8.4,9.4,9.5,10.3,10.6,10.9,10.6,10.8,9.7,9.0,[z],[z],[z],[z],[z],[z]
E10000027,Somerset,9.8,9.4,8.6,8.1,8.6,8.9,9.7,7.4,8.1,6.3,5.9,1.3,3.6,4.8,5.4,5.4,[z]
E06000025,South Gloucestershire,7.3,6.9,7.1,6.5,6.9,8.0,8.8,10.6,10.4,9.3,8.4,2.6,5.5,6.6,9.1,9.4,[z]
E06000030,Swindon,12.1,12.5,12.5,12.0,11.6,11.7,11.8,11.7,11.9,12.0,11.9,4.8,8.7,9.5,10.0,10.3,[z]
E06000027,Torbay,7.7,7.7,8.3,8.0,7.8,8.1,7.8,7.9,8.0,7.7,7.3,2.7,5.2,5.7,5.6,5.6,[z]
E06000054,Wiltshire,10.4,10.8,11.0,10.7,10.2,9.9,9.9,9.9,9.9,9.8,9.4,3.7,6.6,7.3,8.2,8.8,[z]
[z],England,"4,613.4","4,618.4","4,639.5","4,570.1","4,672.4","4,627.1","4,510.9","4,438.8","4,347.9","4,311.2","4,074.9","1,582.0","2,840.0","3,389.0","3,629.4","3,672.0",[z]
